Team,TeamID,Season,Points,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,Games,Target
Arizona,1112,2003,85.21428571428571,30.321428571428573,65.71428571428571,7.035714285714286,20.071428571428573,17.535714285714285,25.0,15.178571428571429,27.642857142857142,17.642857142857142,14.785714285714286,8.464285714285714,4.214285714285714,17.75,28.0,1
Arizona St,1113,2003,75.96551724137932,27.20689655172414,56.89655172413793,4.0,12.586206896551724,17.551724137931036,26.20689655172414,13.689655172413794,23.310344827586206,15.551724137931034,14.0,5.206896551724138,4.241379310344827,19.413793103448278,29.0,1
C Michigan,1141,2003,79.34482758620689,26.620689655172413,52.689655172413794,6.827586206896552,17.93103448275862,19.275862068965516,25.17241379310345,10.586206896551724,23.275862068965516,15.620689655172415,18.24137931034483,7.103448275862069,4.0,20.96551724137931,29.0,1
California,1143,2003,74.48275862068965,27.344827586206897,58.724137931034484,6.413793103448276,17.03448275862069,13.379310344827585,19.517241379310345,11.241379310344827,24.379310344827587,16.0,14.172413793103448,6.551724137931035,2.793103448275862,17.103448275862068,29.0,1
Connecticut,1163,2003,80.03333333333333,29.533333333333335,62.2,6.066666666666666,15.7,14.9,22.1,14.766666666666667,27.9,15.633333333333333,15.8,5.933333333333334,7.733333333333333,18.4,30.0,1
Duke,1181,2003,81.96666666666667,27.366666666666667,60.333333333333336,7.333333333333333,20.6,19.9,28.066666666666666,13.766666666666667,23.1,13.833333333333334,14.033333333333333,8.5,5.133333333333334,21.266666666666666,30.0,1
Gonzaga,1211,2003,77.06451612903226,26.06451612903226,55.45161290322581,7.161290322580645,19.06451612903226,17.774193548387096,24.64516129032258,11.935483870967742,25.322580645161292,15.741935483870968,14.548387096774194,6.806451612903226,3.5161290322580645,18.64516129032258,31.0,1
Illinois,1228,2003,75.43333333333334,27.1,55.8,7.433333333333334,20.166666666666668,13.8,19.1,9.733333333333333,25.4,18.266666666666666,13.166666666666666,7.0,3.1,19.133333333333333,30.0,1
Kansas,1242,2003,81.33333333333333,30.233333333333334,62.3,4.8,14.133333333333333,16.066666666666666,24.133333333333333,14.3,26.9,16.733333333333334,14.9,10.133333333333333,4.9,16.7,30.0,1
Marquette,1266,2003,78.39285714285714,27.214285714285715,56.25,5.785714285714286,15.25,18.178571428571427,23.607142857142858,13.107142857142858,24.071428571428573,16.321428571428573,13.571428571428571,6.0,3.642857142857143,18.642857142857142,28.0,1
Missouri,1281,2003,71.7741935483871,26.161290322580644,59.193548387096776,7.483870967741935,20.967741935483872,11.96774193548387,18.161290322580644,13.483870967741936,25.903225806451612,13.741935483870968,13.612903225806452,5.709677419354839,4.32258064516129,16.870967741935484,31.0,1
Notre Dame,1323,2003,80.09677419354838,27.225806451612904,60.67741935483871,8.290322580645162,21.774193548387096,17.35483870967742,22.838709677419356,11.387096774193548,26.870967741935484,16.903225806451612,12.774193548387096,7.451612903225806,5.645161290322581,16.225806451612904,31.0,1
Oklahoma,1328,2003,71.16666666666667,25.266666666666666,56.53333333333333,7.466666666666667,18.966666666666665,13.166666666666666,18.6,12.133333333333333,24.966666666666665,14.166666666666666,11.8,6.933333333333334,3.7666666666666666,18.6,30.0,1
Stanford,1390,2003,72.25806451612904,25.64516129032258,58.03225806451613,6.935483870967742,19.387096774193548,14.03225806451613,20.774193548387096,13.741935483870968,25.129032258064516,14.64516129032258,14.32258064516129,5.516129032258065,3.3548387096774195,18.516129032258064,31.0,1
Tulsa,1409,2003,73.51612903225806,26.387096774193548,57.03225806451613,6.645161290322581,18.322580645161292,14.096774193548388,19.387096774193548,11.161290322580646,25.806451612903224,14.774193548387096,14.32258064516129,7.580645161290323,5.0,17.322580645161292,31.0,1
Wisconsin,1458,2003,70.72413793103448,25.03448275862069,53.89655172413793,6.241379310344827,17.379310344827587,14.413793103448276,19.448275862068964,10.310344827586206,22.551724137931036,13.310344827586206,10.517241379310345,6.9655172413793105,2.8275862068965516,14.827586206896552,29.0,1
Auburn,1120,2003,70.1,25.7,54.7,5.633333333333334,16.333333333333332,13.066666666666666,19.733333333333334,11.933333333333334,22.566666666666666,13.4,15.9,8.033333333333333,4.966666666666667,16.366666666666667,30.0,1
Butler,1139,2003,68.58620689655173,24.06896551724138,50.6551724137931,8.482758620689655,21.862068965517242,11.96551724137931,16.551724137931036,7.827586206896552,20.379310344827587,12.96551724137931,10.413793103448276,6.344827586206897,1.8620689655172413,16.06896551724138,29.0,1
Florida,1196,2003,75.90322580645162,26.93548387096774,56.516129032258064,8.67741935483871,22.129032258064516,13.35483870967742,18.93548387096774,10.806451612903226,24.258064516129032,16.419354838709676,13.387096774193548,7.774193548387097,4.096774193548387,16.903225806451612,31.0,1
Indiana,1231,2003,70.53125,23.4375,54.9375,7.53125,21.625,16.125,22.625,11.21875,25.625,13.8125,11.5,4.4375,5.34375,18.0625,32.0,1
Kentucky,1246,2003,77.53125,28.46875,58.40625,5.90625,16.59375,14.6875,20.78125,12.875,24.15625,16.1875,14.0625,7.8125,5.09375,17.375,32.0,1
Louisville,1257,2003,81.83333333333333,27.966666666666665,60.833333333333336,8.433333333333334,23.4,17.466666666666665,25.1,13.2,25.1,16.6,13.366666666666667,7.2,4.733333333333333,22.666666666666668,30.0,1
Maryland,1268,2003,80.78571428571429,29.428571428571427,63.357142857142854,6.75,16.964285714285715,15.178571428571429,21.571428571428573,13.75,26.75,18.892857142857142,14.107142857142858,10.892857142857142,6.607142857142857,19.0,28.0,1
Michigan St,1277,2003,67.2258064516129,23.032258064516128,51.096774193548384,4.903225806451613,13.387096774193548,16.258064516129032,22.129032258064516,10.67741935483871,24.258064516129032,13.612903225806452,14.548387096774194,6.387096774193548,3.7096774193548385,20.032258064516128,31.0,1
Oklahoma St,1329,2003,68.72413793103448,24.655172413793103,55.41379310344828,4.862068965517241,12.96551724137931,14.551724137931034,22.344827586206897,12.379310344827585,24.06896551724138,12.241379310344827,14.655172413793103,8.793103448275861,5.586206896551724,20.137931034482758,29.0,1
Pittsburgh,1338,2003,74.6,26.866666666666667,53.5,6.366666666666666,17.766666666666666,14.5,22.8,11.3,25.366666666666667,17.766666666666666,15.1,8.066666666666666,4.1,17.966666666666665,30.0,1
Purdue,1345,2003,71.75,23.75,54.392857142857146,5.107142857142857,15.5,19.142857142857142,25.5,10.392857142857142,23.464285714285715,12.25,13.821428571428571,7.178571428571429,2.9285714285714284,19.821428571428573,28.0,1
Syracuse,1393,2003,80.10344827586206,29.24137931034483,62.206896551724135,5.241379310344827,15.862068965517242,16.379310344827587,23.620689655172413,14.310344827586206,26.896551724137932,14.96551724137931,13.620689655172415,8.310344827586206,7.275862068965517,16.586206896551722,29.0,1
Texas,1400,2003,78.85714285714286,28.0,62.42857142857143,5.857142857142857,16.785714285714285,17.0,23.785714285714285,16.178571428571427,26.142857142857142,14.5,13.428571428571429,6.392857142857143,3.857142857142857,20.357142857142858,28.0,1
Utah,1428,2003,66.73333333333333,23.166666666666668,50.733333333333334,7.166666666666667,18.766666666666666,13.233333333333333,18.8,10.133333333333333,23.2,13.2,12.7,4.666666666666667,3.7666666666666666,20.1,30.0,1
Wake Forest,1448,2003,78.41379310344827,26.137931034482758,57.241379310344826,6.103448275862069,17.724137931034484,20.03448275862069,26.620689655172413,14.758620689655173,26.93103448275862,14.586206896551724,15.10344827586207,6.413793103448276,4.379310344827586,18.482758620689655,29.0,1
Xavier,1462,2003,78.23333333333333,26.8,59.2,6.433333333333334,17.766666666666666,18.2,24.366666666666667,13.933333333333334,25.5,16.4,13.033333333333333,5.466666666666667,3.033333333333333,15.766666666666667,30.0,1
Alabama,1104,2004,72.20689655172414,24.896551724137932,55.0,7.137931034482759,18.620689655172413,15.275862068965518,21.862068965517242,11.310344827586206,24.0,11.862068965517242,13.275862068965518,6.448275862068965,3.103448275862069,18.344827586206897,29.0,1
Connecticut,1163,2004,79.0909090909091,30.12121212121212,62.63636363636363,6.393939393939394,15.969696969696969,12.454545454545455,20.21212121212121,15.303030303030303,29.484848484848484,18.242424242424242,13.787878787878787,6.151515151515151,8.727272727272727,16.060606060606062,33.0,1
DePaul,1177,2004,70.86666666666666,25.633333333333333,54.56666666666667,5.1,14.066666666666666,14.5,20.6,12.066666666666666,23.766666666666666,13.733333333333333,13.433333333333334,5.7,2.3666666666666667,17.4,30.0,1
Duke,1181,2004,79.75,27.5625,58.46875,7.1875,19.53125,17.4375,23.84375,13.40625,22.84375,14.25,14.1875,9.34375,6.8125,18.71875,32.0,1
Gonzaga,1211,2004,82.34482758620689,29.03448275862069,56.37931034482759,6.517241379310345,15.724137931034482,17.75862068965517,23.482758620689655,11.551724137931034,27.93103448275862,18.20689655172414,13.551724137931034,6.275862068965517,3.793103448275862,15.931034482758621,29.0,1
Manhattan,1264,2004,74.34482758620689,24.379310344827587,55.206896551724135,5.758620689655173,15.655172413793103,19.82758620689655,26.103448275862068,12.172413793103448,22.689655172413794,10.793103448275861,13.0,9.448275862068966,4.172413793103448,20.310344827586206,29.0,1
Maryland,1268,2004,77.36666666666666,28.066666666666666,63.666666666666664,5.133333333333334,15.333333333333334,16.1,25.7,15.766666666666667,25.733333333333334,14.033333333333333,15.133333333333333,8.733333333333333,6.766666666666667,19.5,30.0,1
Nevada,1305,2004,75.5,26.766666666666666,58.766666666666666,4.866666666666666,14.3,17.1,23.933333333333334,13.4,25.466666666666665,14.233333333333333,13.0,6.5,4.7,18.3,30.0,1
North Carolina,1314,2004,83.07142857142857,29.642857142857142,64.10714285714286,6.5,18.357142857142858,17.285714285714285,25.428571428571427,15.357142857142858,24.642857142857142,18.357142857142858,15.642857142857142,9.607142857142858,4.214285714285714,18.5,28.0,1
Seton Hall,1371,2004,72.28571428571429,26.107142857142858,56.857142857142854,5.964285714285714,16.857142857142858,14.107142857142858,19.678571428571427,11.785714285714286,25.321428571428573,13.25,13.142857142857142,6.785714285714286,3.142857142857143,18.107142857142858,28.0,1
St Joseph's PA,1386,2004,77.78571428571429,27.178571428571427,56.785714285714285,9.75,23.964285714285715,13.678571428571429,19.464285714285715,9.678571428571429,23.25,16.535714285714285,11.714285714285714,9.142857142857142,3.5714285714285716,17.035714285714285,28.0,1
Stanford,1390,2004,73.93333333333334,26.533333333333335,54.8,5.2,14.2,15.666666666666666,20.833333333333332,11.1,25.2,16.366666666666667,13.966666666666667,6.366666666666666,4.433333333333334,17.266666666666666,30.0,1
Syracuse,1393,2004,72.92857142857143,27.678571428571427,59.75,4.321428571428571,13.857142857142858,13.25,20.821428571428573,13.928571428571429,24.714285714285715,15.357142857142858,12.785714285714286,7.892857142857143,6.857142857142857,17.642857142857142,28.0,1
Texas,1400,2004,77.13333333333334,27.6,62.63333333333333,6.8,18.866666666666667,15.133333333333333,22.4,16.3,25.1,13.833333333333334,11.866666666666667,6.966666666666667,3.9,19.433333333333334,30.0,1
Texas Tech,1403,2004,73.40625,27.125,58.4375,3.6875,10.875,15.46875,20.96875,11.3125,22.6875,14.75,12.46875,8.25,3.53125,16.71875,32.0,1
Wake Forest,1448,2004,83.82142857142857,28.5,60.42857142857143,7.642857142857143,19.964285714285715,19.178571428571427,26.892857142857142,14.035714285714286,23.5,15.75,15.035714285714286,9.25,3.25,20.821428571428573,28.0,1
Boston College,1130,2004,68.75,24.25,53.46875,3.75,11.75,16.5,24.3125,12.8125,23.71875,15.90625,13.375,7.03125,3.03125,15.90625,32.0,1
Cincinnati,1153,2004,76.9,27.033333333333335,59.1,7.233333333333333,18.8,15.6,23.366666666666667,13.133333333333333,24.133333333333333,16.033333333333335,12.1,7.9,5.066666666666666,19.433333333333334,30.0,1
Georgia Tech,1210,2004,78.0625,27.4375,58.375,7.25,19.375,15.9375,23.0,11.375,26.09375,15.78125,15.46875,8.84375,4.84375,21.21875,32.0,1
Illinois,1228,2004,72.53333333333333,26.633333333333333,57.333333333333336,6.9,20.2,12.366666666666667,17.766666666666666,12.033333333333333,22.933333333333334,16.766666666666666,12.566666666666666,6.833333333333333,3.8,19.1,30.0,1
Kansas,1242,2004,74.85714285714286,26.928571428571427,58.142857142857146,5.75,17.178571428571427,15.25,21.571428571428573,12.071428571428571,26.5,17.25,14.428571428571429,6.892857142857143,4.928571428571429,20.464285714285715,28.0,1
Kentucky,1246,2004,73.13333333333334,26.666666666666668,56.833333333333336,6.2,17.466666666666665,13.6,19.533333333333335,11.8,24.033333333333335,15.6,14.5,7.9,3.3666666666666667,18.433333333333334,30.0,1
Memphis,1272,2004,73.57142857142857,24.75,58.642857142857146,8.714285714285714,24.214285714285715,15.357142857142858,23.214285714285715,13.464285714285714,25.142857142857142,14.285714285714286,12.928571428571429,7.464285714285714,5.107142857142857,18.214285714285715,28.0,1
Mississippi St,1280,2004,77.10714285714286,27.357142857142858,58.5,6.464285714285714,18.25,15.928571428571429,24.035714285714285,14.75,26.107142857142858,13.678571428571429,15.464285714285714,9.178571428571429,4.5,16.25,28.0,1
NC State,1301,2004,73.34482758620689,24.655172413793103,54.55172413793103,8.344827586206897,24.310344827586206,15.689655172413794,19.655172413793103,10.03448275862069,23.689655172413794,14.862068965517242,13.758620689655173,6.9655172413793105,2.3448275862068964,18.517241379310345,29.0,1
Oklahoma St,1329,2004,78.20689655172414,28.896551724137932,56.3448275862069,4.827586206896552,12.758620689655173,15.586206896551724,22.413793103448278,11.379310344827585,24.17241379310345,16.06896551724138,13.448275862068966,7.862068965517241,3.586206896551724,19.413793103448278,29.0,1
Pacific,1334,2004,69.16666666666667,23.2,49.5,5.9,16.6,16.866666666666667,22.866666666666667,9.266666666666667,24.266666666666666,14.3,14.1,5.833333333333333,3.2,16.9,30.0,1
Pittsburgh,1338,2004,68.875,25.71875,53.4375,4.1875,13.3125,13.25,20.3125,12.90625,23.71875,15.0625,12.4375,5.875,4.90625,14.5,32.0,1
UAB,1412,2004,74.55172413793103,27.551724137931036,62.172413793103445,6.482758620689655,19.620689655172413,12.96551724137931,19.82758620689655,12.344827586206897,22.689655172413794,17.586206896551722,13.620689655172415,11.758620689655173,3.7241379310344827,20.93103448275862,29.0,1
Vanderbilt,1435,2004,73.83333333333333,25.733333333333334,57.36666666666667,7.8,21.6,14.566666666666666,20.433333333333334,11.433333333333334,24.2,16.633333333333333,12.766666666666667,7.566666666666666,3.5,17.8,30.0,1
Wisconsin,1458,2004,68.63333333333334,23.733333333333334,52.93333333333333,5.8,17.6,15.366666666666667,21.433333333333334,11.266666666666667,21.7,13.4,9.933333333333334,6.966666666666667,2.8,15.4,30.0,1
Xavier,1462,2004,70.42424242424242,24.545454545454547,55.63636363636363,7.606060606060606,20.575757575757574,13.727272727272727,20.21212121212121,11.787878787878787,23.696969696969695,13.484848484848484,12.545454545454545,7.03030303030303,2.242424242424242,16.636363636363637,33.0,1
Arizona,1112,2005,79.66666666666667,29.12121212121212,61.84848484848485,6.848484848484849,17.03030303030303,14.575757575757576,18.727272727272727,13.727272727272727,23.272727272727273,16.575757575757574,14.848484848484848,8.242424242424242,3.5757575757575757,16.454545454545453,33.0,1
Boston College,1130,2005,71.92857142857143,25.535714285714285,56.535714285714285,4.0,12.142857142857142,16.857142857142858,23.642857142857142,14.321428571428571,23.464285714285715,17.392857142857142,12.928571428571429,7.25,4.107142857142857,14.892857142857142,28.0,1
Cincinnati,1153,2005,76.41935483870968,25.548387096774192,58.225806451612904,6.612903225806452,19.032258064516128,18.70967741935484,27.0,14.387096774193548,27.06451612903226,15.0,13.451612903225806,5.483870967741935,6.870967741935484,17.677419354838708,31.0,1
Gonzaga,1211,2005,79.6896551724138,27.586206896551722,54.51724137931034,5.0344827586206895,12.89655172413793,19.482758620689655,26.103448275862068,11.724137931034482,26.448275862068964,15.827586206896552,13.551724137931034,5.586206896551724,3.4482758620689653,17.413793103448278,29.0,1
Illinois,1228,2005,77.42424242424242,28.151515151515152,57.60606060606061,8.696969696969697,21.78787878787879,12.424242424242424,17.151515151515152,10.969696969696969,23.393939393939394,18.575757575757574,11.121212121212121,7.636363636363637,3.4242424242424243,15.515151515151516,33.0,1
Kentucky,1246,2005,73.73333333333333,26.5,57.733333333333334,6.533333333333333,19.333333333333332,14.2,21.4,12.7,22.9,15.266666666666667,13.033333333333333,9.4,4.433333333333334,16.8,30.0,1
Nevada,1305,2005,69.55172413793103,24.724137931034484,53.55172413793103,2.689655172413793,9.931034482758621,17.413793103448278,24.655172413793103,12.068965517241379,27.310344827586206,15.068965517241379,14.586206896551724,6.689655172413793,5.172413793103448,15.724137931034482,29.0,1
Oklahoma,1328,2005,75.41935483870968,27.516129032258064,57.0,6.741935483870968,17.548387096774192,13.64516129032258,19.93548387096774,12.741935483870968,22.451612903225808,15.870967741935484,13.806451612903226,8.838709677419354,4.161290322580645,18.258064516129032,31.0,1
Pacific,1334,2005,72.41379310344827,25.448275862068964,50.89655172413793,6.310344827586207,16.620689655172413,15.206896551724139,20.379310344827587,9.758620689655173,26.03448275862069,14.96551724137931,13.931034482758621,5.103448275862069,3.2413793103448274,14.448275862068966,29.0,1
Texas Tech,1403,2005,77.53333333333333,28.233333333333334,59.666666666666664,4.566666666666666,11.366666666666667,16.5,21.6,11.366666666666667,23.5,16.833333333333332,12.866666666666667,7.766666666666667,3.966666666666667,17.033333333333335,30.0,1
